features,1,2,3,4,5,mean_gain,cumulative_gain
Injury_of_cauda_equina,3831.910407066345,4442.941046476364,4179.290361404419,3012.151924610138,5452.313691854477,4183.721486282348,0.9961428550955355
Injury_of_cervical_sympathetic_nerves,4875.815050363541,4117.051833868027,2328.114332675934,4267.888420343399,4563.763113021851,4030.52655005455,0.9965765050067195
BLA,3295.470039367676,4400.610900640488,4060.371079683304,3813.8514029979706,3136.9295566082,3741.4465958595274,0.9969790524068779
Injury_of_nerve_root_of_lumbar_and_sacral_spine,1765.7888073921204,2747.297300338745,5209.673738241196,3059.774561405182,4163.73233962059,3389.2533493995666,0.9973437068498382
Circulatory___Vascular_Issues,2633.6603350639343,3140.7311470508575,2940.8661518096924,3591.4375698566437,3444.583662509918,3150.255773258209,0.9976826472139109
Sexual___Reproductive_Issues,1970.138090133667,3899.722063779831,2153.8372118473053,2899.7898008823395,2548.1251876354218,2694.3224708557127,0.9979725330850687
AA,2191.7252357006073,1775.1825165748596,2498.360035419464,2237.0700056552887,2599.473568201065,2260.362272310257,0.9982157285798653
Lym,2123.1608939170837,1684.0597262382507,2152.0185306072235,2128.0115756988525,2428.875977754593,2103.2253408432007,0.9984420174954522
PUD,1948.7107374668121,1933.9263620376587,1672.9022352695465,2556.9965963363647,2124.6062672138214,2047.4284396648407,0.998662303145476
_Injury_of_other_specified_nerves_of_neck,2576.043570280075,1935.9262037277222,2382.0401005744934,0.0,2308.9802725315094,1840.59802942276,0.9988603356263621
Injury_of_nerve_root_of_thoracic_spine,2162.9154176712036,1875.9427862167358,1373.6273012161255,1764.8461174964905,909.2467932701111,1617.3156831741333,0.9990343448516222
Brown_Séquard_syndrome_of_thoracic_spinal_cord,1225.2148022651672,611.8003673553467,1846.6296346187592,1902.1051545143127,1714.6175084114075,1460.0734934329987,0.9991914361727898
Surgical_Interventions,1514.9896264076233,921.3537538051605,2416.5664105415344,1319.043509721756,1105.9026901721954,1455.571198129654,0.9993480430857954
Skin___Pressure_Related_Conditions,1444.882780790329,968.593199968338,1866.6232571601868,1313.3708806037903,1235.7724318504333,1365.8485100746154,0.9994949966110307
Concussion_and_edema_of_sacral_spinal_cord,2893.978129863739,0.0,2686.1109585762024,0.0,0.0,1116.0178176879883,0.9996150705074582
AIDS,887.5976033210754,691.1619522571564,524.7039024829865,754.2855455875397,993.3281795978546,770.2154366493226,0.999697939048714
Anterior_cord_syndrome_of_thoracic_spinal_cord,832.5534589290619,558.2767477035522,915.5477092266083,718.9878318309784,801.2998490333557,765.3331193447113,0.9997802822947162
Injury_of_unspecified_nerves_of_neck,0.0,1065.5993530750275,751.2190735340118,709.7066380977631,1048.128258228302,714.9306645870208,0.9998572026710866
Traumatic_brain_compression_and_herniation,714.552393913269,578.555935382843,666.1656775474548,905.3982648849487,574.60649061203,687.8557524681091,0.9999312100203152
Injury_of_lumbosacral_plexus,0.0,0.0,1442.4727401733398,1381.9583115577698,372.3854625225067,639.3633028507232,0.9999999999999996
Injury_of_peripheral_nerves_of_neck,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996
Injury_of_lumbar__sacral_and_pelvic_sympathetic_nerves,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996
Injury_of_peripheral_nerve_s__at_abdomen__lower_back_and_pelvis_level,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996
Injury_of_other_nerves_at_abdomen__lower_back_and_pelvis_level,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996
Injury_of_unspecified_nerves_at_abdomen__lower_back_and_pelvis_level,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996
Injury_of_unspecified_nerve_of_thorax,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996
Injury_of_other_specified_nerves_of_thorax,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996
Injury_of_thoracic_sympathetic_nervous_system,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996
Injury_of_peripheral_nerves_of_thorax,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996
